Dpto. Arquitectura y Urbanismo
Dpto. Ciencias B sicas M‚dicas
Dpto. Comunicación Social
Dpto. Cs Politica y Rel Internacionales
Dpto. Diseño
Dpto. Educación
Dpto. Español
Dpto. Física
Dpto. Historia y Cs. Sociales
Dpto. Humanidades y Filosofía
Dpto. Ing. Civil y Ambiental
Dpto. Ingeniería Industrial
Dpto. Ingeniería Mecánica
Dpto. Ingeniería de Sistemas
Dpto. Lenguas
Dpto. Lenguas Extranjeras
Dpto. Matem ticas y Estadística
Dpto. Medicina
Dpto. Mercadeo y Neg. Internacionales
Dpto. Música
Dpto. Odontología
Dpto. Psicología
Dpto. Química y Biología
Dpto. Salud Pública
Dpto. de Economía
Dpto. Finanzas y Organizaciones
Dpto. Electrica-Electrónica
