3,T DIS 2- DISENO TIPOGRAFICO
3,TALLER DE EXPRESION 4
3,TALLER DE EXPRESION 3- COLOR
3,T DIS 3- DISENO EDITORIAL
3,TALLER DI 4 DISENO WEB
3,T DIS 5- IDENTIDAD VISUAL
3,T DIS 6- EMPAQUES/PIEZAS PROM
3,PROYECTO DE GRADO
3,TECNICAS INV EN COMUNICACION
3,PRACTICA PROFESIONAL
3,TEORIA COMUNICACION I
3,REALIZACION MEDIO AUDIOVISUAL1
3,T DIS 1- TEORIA DEL DISENO
3,TRABAJO DE GRADO
3,DISENO PLANES COMUN ESTRATEGI
3,PLAN  INVESTINDEPENDIENTE II
3,COLOQUIO DOCTORAL II
3,SEM ESPECIALIZ LINEA DE INV I
4,CONCEPTOS Y ENFOQUES DE CPOL
4,TEORIAS DE LA DEMOCRACIA
4,METODOLOGIA DE LA INVEST CPOL
4,SOCIEDAD ECONOMIA Y POLITICA
4,SEM MEDIO AMBIENTE Y RELAC INT
4,INVESTIGACION SOCIAL
4,INVESTIGACION SOCIO-POLITICA
4,SEMINARIO DE INVESTIGACION II
4,TEO DE NEGOCIACION Y CONFLICTO
4,DERECHO INTERNACIONAL
4,PRACTICAS PROFESIONAL
4,SEMINARIO DE INVETIGACION I
4,PRACTICA PROFESIONAL (RI)
4,PROCESOS Y PROGRAMAS CTRL SOC
4,GEOPOLITICA
4,TEORIA Y ESTRUCTURA DEL ESTADO
4,POLITICA EXTERIOR COLOMBIANA
4,SEMINARIO DEMOCRACIA
4,POLITICA LATINOAMERIC Y CARIBE
4,COMPORT POLITICO Y MARKETING
4,SISTEMAS POLITICOS COMPARADOS
4,INTRODUC A LA ADMON PUBLICA
4,DESCENTRALIZ Y GOB TERRITORIAL
4,DEMOCDEREC HUMANOS YCONFLICTO
4,CULT PARA LA PAZ YLA NOVIOLENC
4,NORTH AMERICAN POLITICS
4,SEM DE INTEGRACION ECONOMICA
4,TEORIA POLITICA I
4,TEORIA POLITICA II
4,METODOLOGIA
4,PARTICIPACION Y PROCESOS ELEC
4,PARTIDOS Y SISTEMAS DE PART
4,REGIMEN POLITICO Y PARTIDOS
4,ENFOQUE I  ACTOR RACIONAL
4,ENFOQUE IIESTRUCTURAS E INST
4,ENFOQUE IIICULTURA
4,POLITICA DE ASIA PACIFICO
4,POLITICA DE MEDIO ORIENTE
4,POLITICA DE LA UNION EUROPEA
4,POLITICAS PUBLICAS
4,CIUDAD Y DESARROLLO URBANO
4,PRACTICA POLITICA
4,SEMINARIO PROTOCOLO
4,TEORIA DE LAS REL INTERNAC I
4,DIPLOMACIA Y POLITICA INTERNAC
4,ORGANISMOS INTERNACIONALES
4,TEORIA DE LAS RELACIONES INTER
4,SEMINARIO DE GLOBALIZACION
4,TEORIA DE LAS REL INTERNAC II
4,SEM DE CONFLICTO Y PAZ
4,COOPERACION INTER PAZ DD HH
4,SEM DE PROTOCOLO PROFESIONAL
4,ORDEN Y SEGURIDAD GLOBAL
